id,track_id,radar,storm_id,valid,valid_unix,lat,lon,range_nm,max_dbz,vil,echo_top,mesh,posh,poh,cell_dir,cell_speed,loaded_at
8888602,BIS:A0,BIS,A0,2026-06-11T16:15:00Z,1781194500.0,46.95807693281064,-99.47498432873807,100.0,45.0,3.0,7.2,,0.0,0.0,318.0,,2026-07-10T02:43:50Z
8888610,GYX:U0,GYX,U0,2026-06-11T16:15:00Z,1781194500.0,45.123525029795886,-70.28585291782692,137.0,40.0,2.0,11.0,,0.0,0.0,0.0,,2026-07-10T02:43:50Z
8888611,HKI:E0,HKI,E0,2026-06-11T16:15:00Z,1781194500.0,20.97619018479718,-159.6523681891914,101.0,47.0,4.0,9.5,,0.0,0.0,165.0,,2026-07-10T02:43:50Z
8888612,HKI:H0,HKI,H0,2026-06-11T16:15:00Z,1781194500.0,20.864640927831072,-159.88452334356452,118.0,46.0,4.0,8.9,,0.0,0.0,276.0,,2026-07-10T02:43:50Z
8888613,HKI:I0,HKI,I0,2026-06-11T16:15:00Z,1781194500.0,21.208854097621668,-159.4739840179272,75.0,49.0,3.0,4.9,,0.0,0.0,23.0,,2026-07-10T02:43:50Z
8888616,ILN:H0,ILN,H0,2026-06-11T16:15:00Z,1781194500.0,39.759781690588454,-82.28809550243163,137.0,44.0,2.0,14.0,,0.0,0.0,0.0,,2026-07-10T02:43:50Z
8888621,ILX:G4,ILX,G4,2026-06-11T16:15:00Z,1781194500.0,41.64560836487092,-90.55967131354197,196.0,44.0,6.0,17.0,,0.0,0.0,0.0,,2026-07-10T02:43:50Z
8888640,ILX:T3,ILX,T3,2026-06-11T16:15:00Z,1781194500.0,41.367420254276674,-90.82224808975124,185.0,42.0,4.0,15.9,,0.0,0.0,0.0,,2026-07-10T02:43:50Z
8888668,MKX:B4,MKX,B4,2026-06-11T16:15:00Z,1781194500.0,43.06071987873013,-90.36607002387167,148.0,52.0,13.0,11.9,,0.0,0.0,225.0,,2026-07-10T02:43:50Z
8888669,MKX:B8,MKX,B8,2026-06-11T16:15:00Z,1781194500.0,44.14576225413797,-90.05174601790861,179.0,43.0,5.0,15.8,,0.0,0.0,0.0,,2026-07-10T02:43:50Z
8888680,MKX:Q3,MKX,Q3,2026-06-11T16:15:00Z,1781194500.0,42.399591675529166,-91.4487454761138,244.0,52.0,27.0,30.1,,0.0,0.0,254.0,,2026-07-10T02:43:50Z
8888683,MKX:S4,MKX,S4,2026-06-11T16:15:00Z,1781194500.0,42.47394279737991,-91.72597409959337,264.0,45.0,11.0,28.2,,0.0,0.0,238.0,,2026-07-10T02:43:50Z
8888684,MKX:S7,MKX,S7,2026-06-11T16:15:00Z,1781194500.0,44.367571186097706,-90.46350877857813,220.0,51.0,18.0,21.1,,0.0,20.0,0.0,,2026-07-10T02:43:50Z
8888687,MKX:U5,MKX,U5,2026-06-11T16:15:00Z,1781194500.0,42.71481491542256,-90.04828514788834,125.0,51.0,9.0,9.7,,0.0,0.0,219.0,,2026-07-10T02:43:50Z
8888688,MKX:U7,MKX,U7,2026-06-11T16:15:00Z,1781194500.0,43.94565536998768,-90.77459920509716,211.0,46.0,9.0,19.4,,0.0,0.0,0.0,,2026-07-10T02:43:50Z
8888692,MKX:W6,MKX,W6,2026-06-11T16:15:00Z,1781194500.0,43.08602528469618,-91.63282759956262,251.0,46.0,12.0,25.9,,0.0,0.0,245.0,,2026-07-10T02:43:50Z
8888700,MLB:N2,MLB,N2,2026-06-11T16:15:00Z,1781194500.0,28.76341578205742,-82.39124360435385,185.0,44.0,6.0,16.9,,0.0,0.0,8.0,,2026-07-10T02:43:50Z
8888701,MLB:O2,MLB,O2,2026-06-11T16:15:00Z,1781194500.0,28.391701279303614,-82.64902355502478,198.0,42.0,5.0,19.2,,0.0,0.0,0.0,,2026-07-10T02:43:50Z
8888703,MLB:W0,MLB,W0,2026-06-11T16:15:00Z,1781194500.0,27.08758860133314,-79.64339190059778,151.0,50.0,12.0,16.0,,0.0,0.0,28.0,,2026-07-10T02:43:50Z
8888704,MSP:M8,MSP,M8,2026-06-11T16:15:00Z,1781194500.0,44.82833039357374,-93.40885881266652,38.0,40.0,2.0,8.3,,0.0,0.0,0.0,,2026-07-10T02:43:50Z
