id,track_id,radar,storm_id,valid,valid_unix,lat,lon,range_nm,max_dbz,vil,echo_top,mesh,posh,poh,cell_dir,cell_speed,loaded_at
8657129,AIH:C0,AIH,C0,2026-06-10T15:30:00Z,1781105400.0,59.402437697791584,-148.08548199179398,101.0,39.0,1.0,7.2,,0.0,0.0,208.0,,2026-07-10T02:43:50Z
8657130,AIH:I0,AIH,I0,2026-06-10T15:30:00Z,1781105400.0,59.61405930207787,-148.1305030306877,105.0,44.0,2.0,7.4,,0.0,0.0,204.0,,2026-07-10T02:43:50Z
8657131,AIH:K0,AIH,K0,2026-06-10T15:30:00Z,1781105400.0,58.96250969678273,-147.52756503691884,88.0,40.0,1.0,5.6,,0.0,0.0,53.0,,2026-07-10T02:43:50Z
8657132,AIH:M0,AIH,M0,2026-06-10T15:30:00Z,1781105400.0,59.73520087487113,-147.50327991923305,75.0,39.0,1.0,6.9,,0.0,0.0,0.0,,2026-07-10T02:43:50Z
8657134,BIS:J1,BIS,J1,2026-06-10T15:30:00Z,1781105400.0,45.58604042448915,-100.26390748746331,137.0,35.0,1.0,14.0,,0.0,0.0,0.0,,2026-07-10T02:43:50Z
8657137,CLX:C4,CLX,C4,2026-06-10T15:30:00Z,1781105400.0,32.0136608558886,-79.54699242603594,157.0,41.0,2.0,9.7,,0.0,0.0,69.0,,2026-07-10T02:43:50Z
8657139,CLX:F4,CLX,F4,2026-06-10T15:30:00Z,1781105400.0,31.217790951623144,-82.32834030290365,200.0,44.0,2.0,14.1,,0.0,0.0,0.0,,2026-07-10T02:43:50Z
8657144,FCX:D7,FCX,D7,2026-06-10T15:30:00Z,1781105400.0,37.32573137577123,-81.37158243470763,103.0,47.0,6.0,13.3,,0.0,0.0,339.0,,2026-07-10T02:43:50Z
8657148,FCX:I8,FCX,I8,2026-06-10T15:30:00Z,1781105400.0,38.10111820573867,-80.17966005416277,120.0,38.0,1.0,9.2,,0.0,0.0,0.0,,2026-07-10T02:43:50Z
8657152,FCX:L7,FCX,L7,2026-06-10T15:30:00Z,1781105400.0,38.27431682724732,-80.08171191911728,140.0,37.0,2.0,11.1,,0.0,0.0,0.0,,2026-07-10T02:43:50Z
8657156,FCX:P8,FCX,P8,2026-06-10T15:30:00Z,1781105400.0,38.068016798977915,-79.84911436052944,122.0,41.0,3.0,11.7,,0.0,0.0,243.0,,2026-07-10T02:43:50Z
8657158,FCX:Q8,FCX,Q8,2026-06-10T15:30:00Z,1781105400.0,37.71645781706999,-81.38412533771988,125.0,48.0,5.0,9.6,,0.0,0.0,0.0,,2026-07-10T02:43:50Z
8657164,FCX:U8,FCX,U8,2026-06-10T15:30:00Z,1781105400.0,37.66661033589031,-81.07888944820375,101.0,45.0,2.0,12.5,,0.0,0.0,0.0,,2026-07-10T02:43:50Z
8657165,FCX:V5,FCX,V5,2026-06-10T15:30:00Z,1781105400.0,37.758608311424,-81.63813366651561,146.0,51.0,15.0,19.3,,0.0,0.0,295.0,,2026-07-10T02:43:50Z
8657166,FCX:W5,FCX,W5,2026-06-10T15:30:00Z,1781105400.0,37.88779873489477,-82.1479660490609,192.0,51.0,16.0,27.3,,0.0,10.0,306.0,,2026-07-10T02:43:50Z
8657167,FCX:W6,FCX,W6,2026-06-10T15:30:00Z,1781105400.0,37.36461922246854,-80.23667417092422,38.0,47.0,3.0,9.3,,0.0,0.0,270.0,,2026-07-10T02:43:50Z
8657168,FSD:N7,FSD,N7,2026-06-10T15:30:00Z,1781105400.0,42.1560127667005,-93.4386874113877,309.0,48.0,24.0,42.7,,0.0,0.0,164.0,,2026-07-10T02:43:50Z
8657175,MIA:W0,MIA,W0,2026-06-10T15:30:00Z,1781105400.0,25.38602715820341,-80.78359638673555,50.0,49.0,7.0,11.5,,0.0,0.0,110.0,,2026-07-10T02:43:50Z
8657176,MIA:X0,MIA,X0,2026-06-10T15:30:00Z,1781105400.0,25.97494758721218,-80.9225762315074,50.0,50.0,5.0,5.8,,0.0,0.0,0.0,,2026-07-10T02:43:50Z
8657177,TBW:K8,TBW,K8,2026-06-10T15:30:00Z,1781105400.0,28.800910975626067,-82.6877741129396,125.0,52.0,12.0,12.5,,0.0,0.0,144.0,,2026-07-10T02:43:50Z
8657178,TBW:N8,TBW,N8,2026-06-10T15:30:00Z,1781105400.0,27.13652930111715,-81.41327792468253,116.0,48.0,7.0,14.6,,0.0,0.0,133.0,,2026-07-10T02:43:50Z
8657179,TBW:S8,TBW,S8,2026-06-10T15:30:00Z,1781105400.0,28.774992061977645,-80.96170804703328,185.0,49.0,10.0,16.1,,0.0,0.0,146.0,,2026-07-10T02:43:50Z
8657181,TBW:U8,TBW,U8,2026-06-10T15:30:00Z,1781105400.0,27.64533576240608,-80.47219334754995,190.0,47.0,9.0,16.8,,0.0,0.0,159.0,,2026-07-10T02:43:50Z
8657184,TBW:W8,TBW,W8,2026-06-10T15:30:00Z,1781105400.0,29.03585365823505,-81.63608655692624,166.0,45.0,5.0,13.9,,0.0,0.0,0.0,,2026-07-10T02:43:50Z
8657186,TBW:X8,TBW,X8,2026-06-10T15:30:00Z,1781105400.0,27.637188400811755,-80.94052383237299,144.0,45.0,4.0,11.3,,0.0,0.0,0.0,,2026-07-10T02:43:50Z
8657187,TBW:Y7,TBW,Y7,2026-06-10T15:30:00Z,1781105400.0,29.14239479681478,-81.8110844136829,170.0,49.0,9.0,18.3,,0.0,0.0,159.0,,2026-07-10T02:43:50Z
