id,track_id,radar,storm_id,valid,valid_unix,lat,lon,range_nm,max_dbz,vil,echo_top,mesh,posh,poh,cell_dir,cell_speed,loaded_at
10447797,BGM:G0,BGM,G0,2026-06-17T18:00:00Z,1781719200.0,43.34300070882278,-76.63992981312065,138.0,48.0,6.0,11.1,,0.0,0.0,219.0,,2026-07-10T02:43:50Z
10447798,BGM:H0,BGM,H0,2026-06-17T18:00:00Z,1781719200.0,42.98143385159648,-74.68237519692279,138.0,48.0,8.0,14.3,,0.0,0.0,230.0,,2026-07-10T02:43:50Z
10447799,BGM:I0,BGM,I0,2026-06-17T18:00:00Z,1781719200.0,43.232568547968405,-75.55885808969663,120.0,54.0,13.0,11.8,,0.0,0.0,247.0,,2026-07-10T02:43:50Z
10447800,BGM:J0,BGM,J0,2026-06-17T18:00:00Z,1781719200.0,43.168726076330046,-76.35996761473163,112.0,43.0,3.0,10.8,,0.0,0.0,239.0,,2026-07-10T02:43:50Z
10447802,BGM:M0,BGM,M0,2026-06-17T18:00:00Z,1781719200.0,43.43142497002019,-75.1011498265195,155.0,50.0,9.0,13.0,,0.0,0.0,224.0,,2026-07-10T02:43:50Z
10447803,BGM:R0,BGM,R0,2026-06-17T18:00:00Z,1781719200.0,41.71340239645163,-74.8918177873008,105.0,44.0,3.0,7.8,,0.0,0.0,247.0,,2026-07-10T02:43:50Z
10447804,BGM:S0,BGM,S0,2026-06-17T18:00:00Z,1781719200.0,43.057839406211755,-76.57502199937065,107.0,53.0,12.0,17.1,,0.0,20.0,222.0,,2026-07-10T02:43:50Z
10447805,BGM:T0,BGM,T0,2026-06-17T18:00:00Z,1781719200.0,42.673334227457914,-75.90654728038939,53.0,48.0,4.0,8.0,,0.0,0.0,0.0,,2026-07-10T02:43:50Z
10447807,EWR:G0,EWR,G0,2026-06-17T18:00:00Z,1781719200.0,40.57274718284236,-74.52968465843503,22.0,48.0,5.0,8.6,,0.0,0.0,258.0,,2026-07-10T02:43:50Z
10447810,EWR:N0,EWR,N0,2026-06-17T18:00:00Z,1781719200.0,40.72692023593153,-74.32858436584267,16.0,44.0,3.0,9.0,,0.0,0.0,0.0,,2026-07-10T02:43:50Z
10447814,GRR:F4,GRR,F4,2026-06-17T18:00:00Z,1781719200.0,42.42066577254209,-85.4656702014653,53.0,37.0,1.0,11.2,,0.0,0.0,258.0,,2026-07-10T02:43:50Z
